"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
0.501954355181411,-0.197504803365235,0.552,0.537,1,"stable","Pdcd4","18569"
0.50214099163189,0.670516036981514,0.015,0.012,1,"stable","Myo7a","17921"
0.502146049412174,-0.37979403555643,0.158,0.167,1,"stable","Atp6v0a1","11975"
0.502409986103379,-0.339077052395894,0.197,0.208,1,"stable","Fam83h","105732"
0.50251717862529,-0.348637372032065,0.142,0.149,1,"stable","Spag5","54141"
0.502574217232993,-0.134244492717105,0.305,0.316,1,"stable","Ctbp2","13017"
0.502610411708576,-0.258789799254109,0.145,0.155,1,"stable","Pikfyve","18711"
0.50271123235764,-0.983736892186463,0.042,0.047,1,"stable","9130230L23Rik","231253"
0.50304505481964,-0.254711102053869,0.157,0.167,1,"stable","Aqp11","66333"
0.503436747578812,-0.499890636578744,0.189,0.198,1,"stable","Lrrc8d","231549"
0.503467609213398,0.105348465169591,0.125,0.117,1,"stable","Sec24d","69608"
0.503653549287393,-0.187062791598949,0.01,0.008,1,"stable","Gm2366","100039673"
0.504003714733565,-0.336180701438191,0.111,0.102,1,"stable","Mfsd5","106073"
0.504067671129439,0.365681624841723,0.02,0.016,1,"stable","Gm5420","432436"
0.50409862656415,-0.192163407264329,0.195,0.183,1,"stable","Rap1gap2","380711"
0.504101015463518,0.316042133833272,0.065,0.059,1,"stable","Nucb2","53322"
0.504170214818065,-0.213407525379222,0.242,0.252,1,"stable","Mapkapk3","102626"
0.504447251730666,-0.232841632135573,0.17,0.179,1,"stable","Ric8a","101489"
0.504541863135356,0.432597398150842,0.109,0.101,1,"stable","Mavs","228607"
0.504604363281282,-0.308168687273332,0.382,0.38,1,"stable","Stk16","20872"
0.504713074899283,-0.167807937796766,0.084,0.092,1,"stable","Anks3","72615"
0.505912199434957,-0.462650926724796,0.144,0.151,1,"stable","Farp1","223254"
0.506152544336825,0.254587350017972,0.05,0.045,1,"stable","Tsen2","381802"
0.506183069628588,-0.337449730179162,0.052,0.058,1,"stable","Nradd","67169"
0.506632194967361,-0.226209859208415,0.116,0.124,1,"stable","Dhx57","106794"
0.506667238050382,0.308209574791731,0.05,0.045,1,"stable","Shld1","73747"
0.506923499229715,0.84249740116716,0.015,0.012,1,"stable","Ccl8","20307"
0.506942763686143,-0.312776548951512,0.065,0.058,1,"stable","Phf11d","219132"
0.506972411270798,0.279081392440633,0.146,0.139,1,"stable","Pdxk","216134"
0.507163576845546,-0.106917082932309,0.281,0.263,1,"stable","Hes6","55927"
0.507326413835818,-0.517344260094967,0.243,0.245,1,"stable","St3gal6","54613"
0.507373270102678,-0.396421002678796,0.052,0.058,1,"stable","Mllt11","56772"
0.507505244042159,0.152715922941391,0.171,0.16,1,"stable","Dctn5","59288"
0.50776882916915,-0.555270050685849,0.04,0.045,1,"stable","Nlrx1","270151"
0.507985136279856,-0.417378779855547,0.32,0.318,1,"stable","Sash1","70097"
0.508031090784072,-0.188088154692354,0.49,0.482,1,"stable","Kmt2a","214162"
0.508048582631251,-0.1136789274874,0.382,0.364,1,"stable","Snx2","67804"
0.508088695244803,0.42261451937946,0.064,0.058,1,"stable","Ctu1","233189"
0.508109129465781,0.718177405714124,0.034,0.029,1,"stable","Zfp563","240068"
0.508224011778552,-0.752048501357687,0.036,0.041,1,"stable","Gm7160","635504"
0.50899377984757,-0.502121914378263,0.075,0.068,1,"stable","Ercc4","50505"
0.509302581193839,-0.102441510416817,0.189,0.181,1,"stable","Suv39h1","20937"
0.509341506776542,-0.593665507202596,0.069,0.075,1,"stable","Otud3","73162"
0.50939628548768,-0.380375786349366,0.059,0.053,1,"stable","Echdc3","67856"
0.509556290888111,0.734005506463333,0.015,0.012,1,"stable","Ccna1","12427"
0.509760341521063,-0.517201368156955,0.037,0.042,1,"stable","Ccdc62","208908"
0.509927404746356,-0.591143344645735,0.092,0.099,1,"stable","Abtb1","80283"
0.510059300705339,-0.239092081596303,0.156,0.146,1,"stable","Srfbp1","67222"
0.510115538118789,-0.129989180901958,0.134,0.124,1,"stable","Plbd1","66857"
0.510256718188622,0.229753182479283,0.084,0.077,1,"stable","Mlh1","17350"
0.510688784201583,-0.555006261886756,0.08,0.087,1,"stable","Btbd6","399566"
0.510696704754246,-0.193596683592425,0.518,0.517,1,"stable","Ppp1r15b","108954"
0.511358351464454,-0.463421860413737,0.067,0.073,1,"stable","Hdac6","15185"
0.511762057551316,-0.728589291451166,0.026,0.03,1,"stable","Pacc1","66950"
0.512088246019925,-0.36454496768068,0.087,0.095,1,"stable","Tmem53","68777"
0.512088249380578,-0.211708222474794,0.332,0.31,1,"stable","Nemf","66244"
0.5121670519549,-0.212265144031483,0.123,0.114,1,"stable","Hspg2","15530"
0.512190558643141,-0.367708756773113,0.091,0.099,1,"stable","Ice2","93697"
0.51261935441215,0.38802267070675,0.166,0.158,1,"stable","Med20","56771"
0.512732184100954,0.626245699698025,0.028,0.033,1,"stable","9330159M07Rik","319673"
