name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Fth1	26658.8327906667	-0.110124318654263	0.249362483986492	-0.441623442683658	0.658761717236114	0.999870748271689
Selenbp1	21932.3634635687	0.0362593356875935	0.285962620543767	0.126797466111638	0.899100701301178	0.999870748271689
Plec	23110.8847569085	-0.543973289035564	0.210133008517428	-2.58870937447435	0.00963363618734835	0.999870748271689
Myh14	20188.9494461858	-0.0898719640054546	0.242540148667336	-0.370544689195856	0.710976685223355	0.999870748271689
Srrm2	34655.5246645498	-0.420636636053654	0.298039791783572	-1.4113438797431	0.158143241957085	0.999870748271689
App	17778.0999774342	0.127734750098085	0.313548011173411	0.40738497948067	0.683725257222679	0.999870748271689
1810065E05Rik	25685.8493201308	-0.194570315744257	0.219184201885874	-0.887702279955227	0.374700919176467	0.999870748271689
Cdhr5	23081.7234450296	-0.25321319264418	0.180134620523669	-1.40568865611765	0.159816596924173	0.999870748271689
Lgals3	24605.0564491897	-0.297278893751662	0.226263294207549	-1.3138626607238	0.188892426198571	0.999870748271689
Cdh1	16300.5934574131	0.123662221392639	0.365305069233791	0.338517671413688	0.734973112467718	0.999870748271689
Rplp0	23813.2825863664	-0.0778882403495596	0.230946328719295	-0.337256888998782	0.735923255423515	0.999870748271689
Atp1b1	19187.5252745553	-0.00711692162986929	0.237652742954261	-0.0299467262249905	0.97610954040474	0.999870748271689
Psap	17622.3657659495	0.0692180170953329	0.268983624919933	0.257331713467452	0.796922712749967	0.999870748271689
Krt20	18294.2670966366	0.0975257311586499	0.286514693275956	0.340386491329847	0.733565490360976	0.999870748271689
Tmbim6	18003.8990007727	-0.134735633106265	0.238101132727808	-0.56587564940437	0.571478315951949	0.999870748271689
Ugdh	15418.8832479836	-0.0553576049227025	0.338982561832251	-0.163305170105171	0.870278163394505	0.999870748271689
Myh11	32796.7047847832	0.894004440043234	0.486051104939656	1.83932189631423	0.0658678543047113	0.999870748271689
Pkm	18929.9043051377	-0.144453469974121	0.219913322918588	-0.656865477984697	0.511267417482559	0.999870748271689
Epcam	20663.337438329	-0.0271774942374275	0.201929354723529	-0.134589120411133	0.892936743990726	0.999870748271689
Atp5b	16205.5515644958	0.223862692214579	0.312538762179014	0.716271769472089	0.473823554832852	0.999870748271689
Vil1	18240.2232745046	-0.0319772812575207	0.226576930996327	-0.141132114010491	0.887765574240465	0.999870748271689
H2-D1	28588.5101035563	-0.281114423442126	0.362011901118307	-0.776533651445498	0.437433959463805	0.999870748271689
Maoa	13998.1405993533	-0.148559655669032	0.297074863257307	-0.500074809561923	0.617022402731445	0.999870748271689
Calm1	17894.9982420018	0.0675898774709845	0.216572012958732	0.312089621126918	0.754972414034962	0.999870748271689
Gfpt1	12810.8558551083	0.323919589546724	0.4300888131494	0.753145814639462	0.451362296107125	0.999870748271689
Gapdh	24542.8004904276	-0.360425002808415	0.291931595053429	-1.23462142815494	0.216971430258106	0.999870748271689
Hnf4a	15039.6023609217	-0.292552657100817	0.256423428127639	-1.14089675517166	0.253912889901449	0.999870748271689
Plxnb2	14776.4438471567	-0.23788889878701	0.238312715619167	-0.998221593711208	0.318171917666697	0.999870748271689
Aldoa	20257.7609830378	-0.171846105574386	0.197277345363102	-0.871088899022293	0.383705614916679	0.999870748271689
