cpd_id	cpd_name
cpd_485	C36:3 DAG [M+NH4]+
cpd_486	C36:3 PC
cpd_487	C36:4 DAG
cpd_488	C36:4 DAG [M+NH4]+
cpd_489	C36:4 PC-A
cpd_490	C36:4 PC-B
cpd_491	C36:4 PC plasmalogen
cpd_492	C36:5 PC plasmalogen
cpd_493	C38:2 PC
cpd_494	C38:3 PC
cpd_495	C38:4 DAG [M+NH4]+
cpd_496	C38:4 PC
cpd_497	C38:4 PC plasmalogen
cpd_498	C38:5 DAG
cpd_499	C38:5 DAG [M+NH4]+
cpd_500	C38:6 PC
cpd_501	C42:0 TAG
cpd_502	C42:0 TAG [M+NH4]+
cpd_503	C44:0 TAG
cpd_504	C44:0 TAG [M+NH4]+
cpd_505	C44:1 TAG
cpd_506	C44:1 TAG [M+NH4]+
cpd_507	C44:2 TAG
cpd_508	C44:2 TAG [M+NH4]+
cpd_509	C45:0 TAG
cpd_510	C46:0 TAG
cpd_511	C46:0 TAG [M+NH4]+
cpd_512	C46:1 TAG
cpd_513	C46:1 TAG [M+NH4]+
cpd_514	C46:2 TAG
cpd_515	C46:2 TAG [M+NH4]+
cpd_516	C46:3 TAG
cpd_517	C46:3 TAG [M+NH4]+
cpd_518	C48:0 TAG
cpd_519	C48:0 TAG [M+NH4]+
cpd_520	C48:1 TAG
cpd_521	C48:1 TAG [M+NH4]+
cpd_522	C48:2 TAG
cpd_523	C48:2 TAG [M+NH4]+
cpd_524	C48:3 TAG
cpd_525	C48:3 TAG [M+NH4]+
cpd_526	C48:4 TAG
cpd_527	C48:4 TAG [M+NH4]+
cpd_528	C49:1 TAG [M+NH4]+
cpd_529	C50:0 TAG
cpd_530	C50:0 TAG [M+NH4]+
cpd_531	C50:1 TAG
cpd_532	C50:1 TAG [M+NH4]+
cpd_533	C50:2 TAG
cpd_534	C50:2 TAG [M+NH4]+
cpd_535	C50:3 TAG
cpd_536	C50:3 TAG [M+NH4]+
cpd_537	C50:4 TAG
cpd_538	C50:4 TAG [M+NH4]+
cpd_539	C50:5 TAG
cpd_540	C50:5 TAG [M+NH4]+
cpd_541	C51:0 TAG
cpd_542	C51:0 TAG [M+NH4]+
cpd_543	C51:1 TAG
cpd_544	C51:1 TAG [M+NH4]+
cpd_545	C51:2 TAG
cpd_546	C51:2 TAG [M+NH4]+
cpd_547	C51:3 TAG
cpd_548	C51:3 TAG [M+NH4]+
cpd_549	C52:0 TAG
cpd_550	C52:0 TAG [M+NH4]+
cpd_551	C52:1 TAG
cpd_552	C52:1 TAG [M+NH4]+
cpd_553	C52:2 TAG
cpd_554	C52:2 TAG [M+NH4]+
cpd_555	C52:3 TAG
cpd_556	C52:3 TAG [M+NH4]+
cpd_557	C52:4 TAG
cpd_558	C52:4 TAG [M+NH4]+
cpd_559	C52:5 TAG
cpd_560	C52:5 TAG [M+NH4]+
cpd_561	C52:6 TAG
cpd_562	C52:6 TAG [M+NH4]+
cpd_563	C52:7 TAG
cpd_564	C53:2 TAG [M+NH4]+
cpd_565	C53:3 TAG
cpd_566	C53:3 TAG [M+NH4]+
cpd_567	C54:1 TAG
cpd_568	C54:2 TAG
cpd_569	C54:2 TAG [M+NH4]+
cpd_570	C54:3 TAG
cpd_571	C54:3 TAG [M+NH4]+
cpd_572	C54:4 TAG
cpd_573	C54:4 TAG [M+NH4]+
cpd_574	C54:5 TAG
cpd_575	C54:5 TAG [M+NH4]+
cpd_576	C54:6 TAG
cpd_577	C54:6 TAG [M+NH4]+
cpd_578	C55:2 TAG
cpd_579	C55:3 TAG
cpd_580	C56:1 TAG
cpd_581	C56:1 TAG [M+NH4]+
cpd_582	C56:2 TAG
cpd_583	C56:2 TAG [M+NH4]+
cpd_584	C56:3 TAG
cpd_585	C56:3 TAG [M+NH4]+
cpd_586	C56:4 TAG
cpd_587	C56:4 TAG [M+NH4]+
cpd_588	C56:6 TAG
cpd_589	C56:6 TAG [M+NH4]+
cpd_590	C56:7 TAG
cpd_591	C58:10 TAG
cpd_592	cholesterol
cpd_593	linoleoylethanolamide
cpd_594	palmithoylethanolamide
cpd_595	piperine
cpd_596	sphingosine
