cpd_id	BC_0d_1	BC_0d_2	BC_0d_3	BC_0d_4	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_0d_1	Veh_0d_2	Veh_0d_3	Veh_0d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
CAS4651-67-6	0.004315608	0.007154167	4.73E-06	0.005580995	0.011429232	0.000675325	0.000287653	0.0021546	4.70E-06	0.009491339	0.000477179	0.0033054	1.95E-06	3.33E-06	0.000643836	0.000359657
CAS5143-55-5	0.145220145	0.18755	0.180340079	0.11820181	0.13639445	0.185605195	0.233864656	0.1233736	0.106902938	0.194400197	0.164060529	0.2008552	0.132788911	0.1151542	0.113123288	0.095016175
CAS547-75-1	0.111897096	0.141508333	0.054634381	0.13235638	0.059955227	0.022572727	0.021715174	0.0540428	0.019975545	0.216000984	0.028560823	0.0699482	0.012757977	0.0060494	0.042769863	0.044717412
CAS60696-62-0	0.009585299	0.018815278	0.006125344	0.011752398	0.014826272	0.012515584	0.003668238	0.006958	0.004734787	0.019726772	0.007393536	0.008981	0.005484241	0.0041342	0.00450137	0.004471741
CAS83-44-3	0.095907623	0.070501389	0.029449509	0.087211765	0.099907678	0.019516883	0.023431857	0.0564508	4.20E-06	0.180017126	0.004559256	0.1201298	1.05E-06	0.0021238	0.027609589	0.035953758
CAS859-97-2	0.005138838	0.004394444	0.004563065	0.005299729	0.015021832	0.003537662	4.16E-06	0.0051016	0.002152417	0.015766535	0.00375573	0.0036862	2.68E-06	0.002268	4.71E-06	0.003655186
HM4000001	0.000707623	0.000688889	3.32E-06	0.00000429	0.00092988	3.84E-06	0.000307446	4.91E-06	1.66E-06	0.001905709	0.000319491	3.72E-06	0.000148444	1.17E-06	0.000003384	0.000285062
HM4000006	0.00219147	0.002602778	0.002705108	0.002015747	0.002468455	0.002428571	0.001637512	0.00217	0.001340284	0.00292815	0.001476787	0.0021126	0.001597471	0.0016058	0.001753425	0.001922169
HM4000007	4.62E-06	0.000191667	0.000151277	2.71E-06	0.000187789	1.93E-06	4.90E-06	0.0001568	3.76E-06	0.000152953	3.21E-06	3.70E-06	4.27E-06	4.88E-06	0.000132877	4.95E-06
HM4000010	0.094178584	0.062730556	0.064846955	0.074566154	0.126445513	0.077633766	0.073197172	0.056483	0.101536493	0.087502756	0.050144956	0.0865872	0.0687893	0.042973	0.084471233	0.088134729
HM4000012	0.164248457	0.153729167	0.160685069	0.144281086	0.15826087	0.168077922	0.176980584	0.1952468	0.143949194	0.198937795	0.163328306	0.184282	0.182369066	0.1777804	0.125610959	0.17862588
HM4000018	0.041019238	0.040925	0.027724951	0.045854118	0.03092692	0.0298	0.05586673	0.0580342	0.023523981	0.050956693	0.03886954	0.0329714	0.035134825	0.0267512	0.019187671	0.038414082
HM4000019	0.002501452	0.002273611	0.001778193	0.002351493	0.002631637	0.002220779	0.00261131	0.00266	0.002642085	0.00232874	0.00300431	0.0029176	0.002469066	0.0024206	0.00240137	0.0021353
HM4000024	0.020538838	0.0223125	0.004099607	0.006035837	0.004275116	0.003802597	0.001996418	0.0040866	0.002127204	0.01033878	0.002558668	0.0045108	0.002321984	0.0012992	0.003671233	0.003284872
HM4000032	0.000209619	0.000618056	0.000258546	0.000266063	0.000367808	0.000224675	0.000151744	0.000189	0.000130047	0.000631102	0.000143976	0.0003388	0.000175681	0.00021	0.000208219	0.000127878
HM4000033	0.000001582	0.000133333	4.87E-06	1.61E-06	0.000573728	0.000001971	3.77E-06	1.72E-06	3.13E-06	2.84E-06	1.93E-06	0.000001487	0.00000291	3.19E-06	1.76E-06	2.38E-06
HM4000034	0.054635572	0.051522222	0.033019646	0.054313665	0.05753728	0.046436364	0.081694816	0.130354	0.041605877	0.042077165	0.047216063	0.0387002	0.042927432	0.042735	0.038071233	0.053477069
HM4000038	0.033070236	1.76E-06	0.038498625	0.032377376	0.024283071	0.031876623	0.028551555	4.83E-06	0.01155564	0.035482283	0.019979824	0.0221704	0.023938911	0.0255234	0.021706849	0.016165937
HM4000047	0.000275681	0.000220833	0.000218664	0.000188778	0.000270675	0.000232468	0.000240151	0.0003024	0.000161896	0.000315551	0.000223506	0.0002632	0.000208366	0.00021	0.000212329	0.000241104
HM4000048	0.070533575	0.083915278	0.037549705	0.109829683	0.055930065	0.051132468	0.082952309	0.0950236	0.05704436	0.062902165	0.067232909	0.0560518	0.049032685	0.0922698	0.055364384	0.062782873
HM4000119	0.19259274	0.280888889	0.122564637	0.223101719	0.410127475	0.114538961	0.105443355	0.0706244	0.096394313	0.354855906	0.097683252	0.1290632	0.100612062	0.0288176	0.159932877	0.047610657
HM4000122	0.130659891	0.026663889	0.148427505	0.043640724	0.070353562	0.097574026	0.168443355	0.118587	0.022417251	0.056460236	0.043597453	0.1274294	0.086211673	0.1248842	0.090373973	0.042820552
HM4000124	0.011272414	0.011516667	0.005360707	0.005711493	0.012417391	0.008851948	0.012937795	0.0123844	2.12E-06	0.013315157	0.00686288	0.0091126	0.006357198	0.0044268	0.008453425	0.008447954
HM4000125	0.000705082	0.000680556	0.000401572	0.001375928	0.001298982	0.000481818	0.000493497	0.0006076	0.000139336	0.004574803	0.000294809	0.0006776	0.00016751	0.0002352	0.000346575	0.000775262
